,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
305, 02280,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
306, 02282,1.0,Personal income (thousands of dollars),Thousands of dollars,33508,34134,35944,38774
307, 02282,2.0,Population (persons) 1/,Number of persons,612,602,596,579
308, 02282,3.0,Per capita personal income (dollars) 2/,Dollars,54752,56701,60309,66967
309, 02290,1.0,Personal income (thousands of dollars),Thousands of dollars,292276,297387,312290,316829
310, 02290,2.0,Population (persons) 1/,Number of persons,5423,5409,5359,5230
311, 02290,3.0,Per capita personal income (dollars) 2/,Dollars,53896,54980,58274,60579
312, 02901,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
313, 02901,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
314, 02901,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
315, 02903,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
316, 02903,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
317, 02903,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
318, 02904,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
319, 02904,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
320, 02904,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
321, 02905,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
322, 02905,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
323, 02905,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
